"Title","ID","Owner","Created Date","Updated Date","Description","Image","Publications","Year","link","Rsearch Projects2 (List)"
"Reliable and Efficient Checkpointing for Cycle-sharing Systems","09fb3c69-cae5-4883-9432-abe9fa507929","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-03-26T20:24:18Z,2021-04-30T16:30:22Z,"This research developed failure models for high-throughput systems, e.g. Grids, and developed a scalable data transfer and checkpoint storing mechanism to provide high fault-tolerance in a volatile environment. ","wix:image://v1/38ce7c_5d45392da98e4abe8466bdb28a379bd0~mv2.png/Screen%20Shot%202021-04-30%20at%2011.29.29%20AM.pn#originWidth=838&originHeight=558","https://ieeexplore.ieee.org/document/6375520",2009-11-01T05:00:00Z,,"/rsearch-projects2/"
"Performance-Aware Application Development","0df5a89e-871d-4db0-bf6d-29154fa0dcc2","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-02-17T21:48:28Z,2021-04-30T16:25:26Z,"My group is developing machine learning models to predict the impact of a code change on application performance. This project aims to help application developers assess how their proposed code changes will impact that application's performance before the code is executed. We envision that the performance information collected over time from nightly tests provided as feedback to the model will significantly improve its accuracy.","wix:image://v1/38ce7c_28c1c517003849848496a3df81cd61ab~mv2.png/overview.png#originWidth=1458&originHeight=400","ASTML: https://arxiv.org/abs/2102.07660",2018-08-01T05:00:00Z,,"/rsearch-projects2/"
"Cache Bottleneck Characterization","11fcdfc3-b628-467a-91be-b4d49aff08ba","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-04-30T16:50:05Z,2021-04-30T18:53:58Z,"In this project, I built a robust low-level library for Intel's PEBS counter collection in user space, and developed an analysis approach for correlating PEBS data with application-specific information such as line number to characterize cache-access bottlenecks of applications.","wix:image://v1/38ce7c_0061d1ac2d58448aa13bd866d2f245bb~mv2.png/Screen%20Shot%202021-04-30%20at%2011.51.14%20AM.pn#originWidth=728&originHeight=384",,2012-06-01T05:00:00Z,,"/rsearch-projects2/"
"ECRP+Fractal: Few-Shot Transfer Learning for Performance","17abf203-4d42-48c3-bdc6-e35e60361612","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-08-05T00:09:18Z,2025-11-11T14:30:13Z,"Few-shot transfer learning and generative AI significantly enhance the prediction of relative performance in HPC environments. By using a few samples from the target application, few-shot learning adapts the source model to improve generalizability, while generative AI synthesizes performance samples to mitigate data scarcity, ensuring accurate and efficient knowledge transfer across different platforms.","wix:image://v1/38ce7c_2e4f3b2917cf4abab58ff44cdbef5df6~mv2.png/Screenshot%202024-08-05%20at%207.05.45%E2%80%AFAM.png#originWidth=1694&originHeight=614",,2024-07-01T18:00:00Z,,"/rsearch-projects2/"
"Power-Aware Resilience","19e28d1f-1096-462a-806c-b099e6910366","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-02-17T21:41:19Z,2021-03-26T20:28:56Z,"This project developed several algorithms for shifting power in an I/O-aware manner to other applications in an HPC system to improve performance. Since I/O phases of applications use less power, moving it to applications or processes crunching numbers accelerates their computation.","wix:image://v1/38ce7c_8de887e151374a74b878ee46e7985179~mv2.png/power-io.png#originWidth=846&originHeight=374","https://ieeexplore.ieee.org/document/7516070",2016-12-31T06:00:00Z,,"/rsearch-projects2/"
"CESAR Co-Design Project: Proxy Application Development and Validation","3ea6fc8a-0c3d-4825-830c-d696b8ad949b","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-03-26T18:09:33Z,2025-11-11T14:29:54Z,"Proxy applications are written to represent subsets of performance behaviors of larger, and more complex applications that often have distribution restrictions. In this research, we developed a systematic methodology for quantitatively compare how well proxies match with their parents.","wix:image://v1/38ce7c_4307cceed49c4b8380030d3295c449c6~mv2.png/veritas-struct.png#originWidth=1143&originHeight=604","https://ieeexplore.ieee.org/abstract/document/7877124",2017-10-01T05:00:00Z,,"/rsearch-projects2/"
"ECRP: PerfGen: Synthesizing Performance using GenAI","4670d9fe-30d5-48ab-b44c-584e2624f340","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-08-05T01:08:46Z,2024-08-05T01:38:04Z,"The PerfGen project addresses the critical need for extensive performance data in HPC environments, where traditional data collection is often time-consuming and resource-intensive. By developing generative AI methods, specifically using GAN-based and LLM-based approaches, PerfGen synthesizes high-fidelity performance data, with LLM-based methods showing superior performance. The framework also introduces a new dissimilarity metric to evaluate the quality of the generated data, ensuring it supports accurate and effective downstream machine learning tasks. This innovative approach enables scalable and efficient performance optimization in HPC systems.","wix:image://v1/38ce7c_e62d6a1a5a6e46e4b29a73d81d4312ab~mv2.png/Screenshot%202024-08-05%20at%207.34.07%E2%80%AFAM.png#originWidth=878&originHeight=596","https://www.tanzimaislam.com/_files/ugd/38ce7c_89c1d51e077f4126bd24145b1f70312b.pdf",2024-07-01T18:00:00Z,,"/rsearch-projects2/"
"Ph.D. Thesis: Scalable Checkpoint/Restart","5ff4fb9b-8671-44b9-a60c-9587abd7271e","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-02-17T21:54:53Z,2025-11-11T14:29:27Z,"My Ph.D. thesis built scalable checkpoint/restart systems for both high-throughput (Grid using Condor) and high-performance computing environments. A significant part of my thesis contributed to the Scalable Checkpoint Restart framework that won the R&D 100 award in 2019. ","wix:image://v1/38ce7c_2b32eb21edc741479fe24389e272773b~mv2.png/mcr_restart_edited.png#originWidth=1427&originHeight=616","Faclon: https://dl.acm.org/doi/10.1145/1654059.1654110

mcrEngine: https://dl.acm.org/doi/10.5555/2388996.2389020

HT environment:
https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/content/pdf/10.1007/s10723-014-9297-4.pdf&casa_token=KfXTGe3YhqoAAAAA:PQGe_l9JG3ELhT6js32c0PPzQXPz2NytGYKf9pHVQYQGm9HqWIr8EJzSjiCR8Gs7yjnBU0mUD1rXJI43GA",2013-01-01T00:00:00Z,,"/rsearch-projects2/"
"ECRP: Performance-in-a-Graph (PinG)","8ff06fe2-d4e8-4590-8768-9a8cf1d3d5c1","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-08-05T00:04:06Z,2024-08-05T00:09:14Z,"The performance analytics domain in High Performance Computing (HPC) uses tabular data to solve regression problems, such as predicting the execution time. Existing Machine Learning (ML) techniques leverage the correlations among features given tabular datasets, not leveraging the relationships between samples directly. Moreover, since high-quality embed-dings from raw features improve the fidelity of the downstream predictive models, existing methods rely on extensive feature engineering and pre-processing steps, costing time and manual effort. To fill these two gaps, we propose a novel idea of transforming tabular performance data into graphs to leverage the advancement of Graph Neural Network-based (GNN) techniques in capturing complex relationships between features and samples. In contrast to other ML application domains, such as social networks, the graph is not given; instead, we need to build it. To address this gap, we propose graph-building methods where nodes represent samples, and the edges are automatically inferred iteratively based on the similarity between the features in the samples. We evaluate the effectiveness of the generated embeddings from GNNs based on how well they make even a simple feed-forward neural network perform for regression tasks compared to other state-of-the-art representation learning techniques. Our evaluation demonstrates that even with up to 25 % random missing values for each dataset, our method outperforms commonly used graph and Deep Neural Network (DNN)-based approaches and achieves up to 61.67% & 78.56 % improvement in MSE loss over the DNN baseline respectively for HPC dataset and Machine Learning Datasets.","wix:image://v1/38ce7c_f8d8a7c655cf4272a6716292cf4f6050~mv2.png/Screenshot%202024-08-05%20at%206.06.48%E2%80%AFAM.png#originWidth=950&originHeight=796","https://ieeexplore.ieee.org/abstract/document/10460066",2023-12-16T18:00:00Z,,"/rsearch-projects2/"
"Data-driven decision making","99e18203-32f3-4a34-8b01-3c953cdfe7bf","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-04-30T16:26:00Z,2021-04-30T16:44:01Z,"This new direction of my research investigates the viability of leveraging automated data-driven analysis in decision making for various domains including job scheduling, resource management, health care, transportation planning and more. There are several collaborative research opportunities currently pursue in my lab and I am looking for students interests in optimizations to join my team.","wix:image://v1/38ce7c_f66869b1bf2f471785dda1e5d2228419~mv2.png/ml_for_ddm.png#originWidth=1200&originHeight=858","Looking for students!",2021-04-01T05:00:00Z,,"/rsearch-projects2/"
