"Title","Description","ID","Owner","Created Date","Updated Date","Date","Year","Category","Image"
"WHPC Panelist@SC'24","<p class=""font_8"">Gave an invited talk about my career path in the SDSC booth #3107 (exhibition floor) on Wednesday at 2pm. Thank you WHPC!</p>","0776ed08-106b-4563-8f4b-d27af9ffa262","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-11-19T17:51:40Z,2025-08-21T05:39:48Z,"Nov 2024",2024-11-20T19:00:00Z,,
"LEARN@LLNL","<p class=""font_8"">Started my own project as the PI&nbsp;on applying machine-learning to analyze application performance. The coolest parts of my project are&nbsp;(a) managing&nbsp;an awesome team; (b) working directly with the applications&nbsp;that are important for LLNL. Excited!</p>","07bc6e67-d679-45e9-bc18-996d8b4e7d0a","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:55Z,"May 2016",2016-05-26T05:00:00Z,"Award",
"🔬ICMLA'23","<p class=""font_8"">Our paper on using graph-based representation learning for performance analytics has been accepted at International Conference on Machine Learning and Applications (ICMLA)! (Acceptance rate ~25%)</p>","0a20767a-1fd0-4634-90e0-2eda767ed5b6","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2023-09-08T03:56:58Z,2025-08-21T05:40:28Z,"Sept 2023",2023-09-01T17:00:00Z,"Paper",
"Research Millionaire","<p class=""font_8"">I am grateful to have received the College of Science and Engineering (CoSE)’s “Research Millionaire” award. This award honors CoSE faculty that have been awarded $1M or more in research grant funding over the past three fiscal years (FY2022-2024).&nbsp;</p>","105764a2-4809-4850-93e9-8a45cba344a9","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2024-10-09T20:36:03Z,2024-10-17T17:02:55Z,"Oct 2024",2024-10-14T17:00:00Z,"Award","wix:image://v1/38ce7c_d7f37d9a9595485ca0c36bf13ea4a123~mv2.png/IMG_1268.png#originWidth=2003&originHeight=2849"
"IPDPS 2018","<p class=""font_8"">Our paper titled ""PADDLE: Performance Analysis using a Data-driven Learning Environment"" has been accepted at IPDPS 2018!</p>","122dbdf6-31e2-4c74-ad2b-180c2fd4f57c","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:32Z,"Dec 2017",2017-12-11T06:00:00Z,"Paper",
"IPDPS","<p class=""font_8"">Attending IPDPS 2016 in Chicago. Our paper on ""I/O aware power shifting"" will be&nbsp;presented in the ""I/O and Storage Track"".</p>","13f922f3-5bee-465d-87b5-3286e5603f11","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:52Z,"May 2016",2016-05-26T05:00:00Z,"Paper",
"ICDCS17","<p class=""font_8"">I am a TPC member of the workshop ""Advancing Science via Large Scale Text Analytics over Scientific Articles"" that will be hosted as a part of the&nbsp;IEEE International Conference on Distributed Computing Systems (ICDCS) 2017.</p>","15f9accb-e388-4641-afe5-902393e4c8e0","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:42Z,"Dec 2016",2016-12-26T06:00:00Z,"Service",
"ISC","<p class=""font_8"">Congratulations to Gian-Carlo for getting his first research poster accepted at ISC'19!&nbsp;</p>","170b13d9-d5ff-4c1f-89cf-d59a99cfa62d","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2021-04-30T15:37:44Z,"Feb 2019",2019-02-01T06:00:00Z,"Service","wix:image://v1/c8381ce0e7a94ad09ceaada2fc64081d.jpg/c8381ce0e7a94ad09ceaada2fc64081d.jpg#originWidth=1920&originHeight=1276"
"AMD gift","<p class=""font_8"">Thanks AMD for supporting our research through generous gifts!</p>","1711e482-1e5f-4c58-9cd9-e2798432db1c","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2023-01-05T18:12:54Z,2023-01-05T18:12:54Z,"Jan 2023",2023-01-01T18:00:00Z,"Grants",
"SC16","<p class=""font_8"">My paper with the title ""A Machine Learning Framework for Performance Coverage Analysis of Proxy Applications"" has been accepted in the International Conference for High Performance Computing, Networking, Storage and Analysis (SC) 2016!&nbsp;</p>","22976660-e192-4401-858a-7dfc3877d8e5","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2021-01-05T21:38:56Z,2024-10-17T17:16:50Z,"Aug 2016",2016-08-26T05:00:00Z,"Paper",
"🏅 Presidential Seminar Award","<p class=""font_8"">I am honored to have been selected as this year's Presidential Seminar Award winner! This award is presented to a TxState faculty for their superlative scholarly and creative activities.&nbsp;</p>","22cb4b81-6bfc-440b-9a2c-f9eae3a98409","38ce7cb3-ec75-4934-9382-ef1f1a7d28fb",2023-09-08T04:35:21Z,2025-08-21T05:36:02Z,"Sept 2023",2023-09-28T17:00:00Z,"Award",
